sar_id,sar_timestamp,sar_lat,sar_lon,mmsi,ship_name,vessel_type,flag,ais_lat,ais_lon,matched_mmsi,distance_km,time_gap_seconds,classification
0,2026-05-12 01:18:45+00:00,22.65,69.91999816894531,613426604,SEGINUS,OTHER,CMR,22.65,69.91999816894531,613426604,0.0,1125.0,matched
104,2026-05-12 01:18:45+00:00,22.62,69.55000305175781,352003286,HV ALICE,CARGO,PAN,22.649819078947367,69.68728859801041,352003286,14.474557405836876,2475.0,likely_spoofed
102,2026-05-12 01:18:45+00:00,22.67,69.70999908447266,413556780,ZHUCHENGXINZHOU,CARGO,CHN,22.67,69.70999908447266,413556780,0.0,1125.0,matched
101,2026-05-12 01:18:45+00:00,22.53,69.69000244140625,419001884,MT KB 50,OTHER,IND,22.53,69.69000244140625,419001884,0.0,1125.0,matched
100,2026-05-12 01:18:45+00:00,22.44,69.80000305175781,,,,,22.44,69.80000305175781,419002017,0.0,,matched
99,2026-05-12 01:18:45+00:00,22.69,69.66999816894531,419957016,KB 47,OTHER,IND,22.69,69.66999816894531,419957016,0.0,1125.0,matched
95,2026-05-12 01:18:45+00:00,22.59,69.83000183105469,419000765,CALYPSO FORTUNE,OTHER,IND,22.58375,69.84687280654907,419000765,1.8663013968754774,1125.0,discrepant
94,2026-05-12 01:18:45+00:00,22.64,69.94999694824219,636013376,MARGARITA,OTHER,LBR,22.64,69.94999694824219,636013376,0.0,1125.0,matched
93,2026-05-12 01:18:45+00:00,22.62,69.9000015258789,352005775,SAEHAN OLIVIA,OTHER,PAN,22.62,69.9000015258789,352005775,0.0,1125.0,matched
91,2026-05-12 01:18:45+00:00,22.59,69.56999969482422,,,,,22.62,69.55000305175781,440438000,3.9168261902211143,,discrepant
88,2026-05-12 01:18:45+00:00,22.6,70.05000305175781,,,,,22.59,70.05999755859375,419001804,1.5130062598488039,,discrepant
87,2026-05-12 01:18:45+00:00,22.44,69.80000305175781,,,,,22.44,69.80000305175781,419002017,0.0,,matched
84,2026-05-12 01:18:45+00:00,22.69,69.69999694824219,563051900,ALIANCA MANAUS,CARGO,SGP,22.699424342105264,69.70884777370252,563051900,1.3865729911785012,1125.0,discrepant
83,2026-05-12 01:18:45+00:00,22.45,69.80000305175781,419956753,MARINE . 1,OTHER,IND,22.46359375,69.79312407970428,419956753,1.668688144066417,4725.0,discrepant
82,2026-05-12 01:18:45+00:00,22.53,69.69000244140625,419001884,MT KB 50,OTHER,IND,22.53,69.69000244140625,419001884,0.0,1125.0,matched
81,2026-05-12 01:18:45+00:00,22.6,69.61000061035156,440438000,DS ROSA,OTHER,KOR,22.62,69.55038183024435,440438000,6.511357045220823,1125.0,discrepant
80,2026-05-12 01:18:45+00:00,22.66,70.05999755859375,352001740,ELVITA R,OTHER,PAN,22.66,70.05999755859375,352001740,0.0,1125.0,matched
79,2026-05-12 01:18:45+00:00,22.66,69.55000305175781,,,,,22.65,69.55000305175781,352001285,1.1119508023352598,,discrepant
78,2026-05-12 01:18:45+00:00,22.69,69.73999786376953,563842000,X-PRESS KARAKORAM,CARGO,SGP,22.69,69.73999786376953,563842000,0.0,1125.0,matched
77,2026-05-12 01:18:45+00:00,22.69,69.75,241312000,KOTA PLUMBAGO,CARGO,GRC,22.689616228070175,69.74950659902473,241312000,0.06620559569352776,1125.0,discrepant
76,2026-05-12 01:18:45+00:00,22.66,69.56999969482422,636092705,TANIA,CARGO,LBR,22.66,69.56999969482422,636092705,0.0,1125.0,matched
148,2026-05-12 01:18:45+00:00,22.65,69.72000122070312,477206300,ASL NANJING,OTHER,HKG,22.65,69.7300033569336,566446000,1.0264102638083543,,discrepant
72,2026-05-12 01:18:45+00:00,22.62,69.91999816894531,566762000,MARITIME POLARIS,OTHER,SGP,22.62,69.91999816894531,566762000,0.0,1125.0,matched
71,2026-05-12 01:18:45+00:00,22.65,69.75,,,,,22.66,69.75,311001828,1.1119508023352598,,discrepant
70,2026-05-12 01:18:45+00:00,22.45,69.79000091552734,,,,,22.46,69.80000305175781,419001600,1.5142439976419515,,discrepant
68,2026-05-12 01:18:45+00:00,22.6,69.83999633789062,273295230,VLADIMIR VINOGRADOV,OTHER,RUS,22.58375,69.81062507629395,273295230,3.51527473652309,1125.0,discrepant
66,2026-05-12 01:18:45+00:00,22.61,69.8499984741211,419956787,DAWN II,OTHER,IND,22.59,69.86312627792358,419956787,2.6003669637717737,1125.0,discrepant
65,2026-05-12 01:18:45+00:00,22.64,70.05000305175781,,,,,22.64,70.05000305175781,419956414,0.0,,matched
105,2026-05-12 01:18:45+00:00,22.66,70.05999755859375,352001740,ELVITA R,OTHER,PAN,22.66,70.05999755859375,352001740,0.0,1125.0,matched
64,2026-05-12 01:18:45+00:00,22.66,69.58000183105469,352003740,DODO,CARGO,PAN,22.663125,69.58000183105469,352003740,0.34748462573012234,1125.0,discrepant
106,2026-05-12 01:18:45+00:00,22.65,69.55000305175781,352001285,CHEMROAD ZENITH,OTHER,PAN,22.65,69.55000305175781,352001285,0.0,1125.0,matched
108,2026-05-12 01:18:45+00:00,22.63,69.91999816894531,564860000,HAFNIA RAVEN,OTHER,SGP,22.63,69.91999816894531,564860000,0.0,1125.0,matched
147,2026-05-12 01:18:45+00:00,22.64,69.94000244140625,538003851,UACC MARAH,OTHER,MHL,22.64,69.94000244140625,538003851,0.0,1125.0,matched
145,2026-05-12 01:18:45+00:00,22.67,70.0,576621000,COMPACT DRILLER,OTHER,VUT,22.67,70.0,576621000,0.0,1125.0,matched
144,2026-05-12 01:18:45+00:00,22.6,69.68000030517578,,,,,22.57,69.69000244140625,636014252,3.490333166255743,,discrepant
